,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
0,42.864468,b'Private',187433.16,b'Doctorate',10.644739,b'Married-civ-spouse',b'Machine-op-inspct',b'Husband',b'Other',b'Female',30.839134,1.1425363,42.3674,b'Trinadad&Tobago',0
1,43.38369,b'Private',206582.84,b'Doctorate',10.624026,b'Married-civ-spouse',b'Machine-op-inspct',b'Husband',b'Other',b'Female',21.728657,0.96377563,42.274338,b'Trinadad&Tobago',0
2,42.979645,b'Private',171514.16,b'Doctorate',10.67037,b'Married-AF-spouse',b'Handlers-cleaners',b'Husband',b'Other',b'Female',32.645138,1.2580751,42.070713,b'United-States',0
3,44.736507,b'Private',225372.69,b'Doctorate',10.577629,b'Married-civ-spouse',b'Other-service',b'Husband',b'Other',b'Female',41.52912,1.7175043,43.558464,b'Trinadad&Tobago',0
4,44.920017,b'Private',188815.08,b'Doctorate',10.666896,b'Married-civ-spouse',b'Machine-op-inspct',b'Husband',b'Other',b'Female',27.909595,1.0985277,41.4637,b'Trinadad&Tobago',0
5,42.99891,b'Private',162500.36,b'Doctorate',10.9284935,b'Married-AF-spouse',b'Machine-op-inspct',b'Husband',b'Other',b'Female',11.073862,0.40966243,41.57029,b'United-States',0
6,44.301056,b'Private',215238.73,b'Doctorate',10.454459,b'Married-civ-spouse',b'Machine-op-inspct',b'Husband',b'Other',b'Female',27.838072,0.99817765,42.332573,b'Trinadad&Tobago',0
7,44.43378,b'Private',191373.23,b'Doctorate',11.087187,b'Married-civ-spouse',b'Machine-op-inspct',b'Husband',b'Other',b'Female',13.929466,0.72776484,43.13232,b'Trinadad&Tobago',0
8,43.22583,b'Private',188714.62,b'Doctorate',10.848743,b'Married-civ-spouse',b'Machine-op-inspct',b'Husband',b'Other',b'Female',36.96345,1.2418478,42.21639,b'Trinadad&Tobago',0
9,43.438652,b'Private',171789.11,b'HS-grad',10.628235,b'Married-AF-spouse',b'Other-service',b'Husband',b'Other',b'Female',12.430425,0.48213992,42.745422,b'United-States',0
10,43.39723,b'Private',158987.47,b'Doctorate',10.791205,b'Married-AF-spouse',b'Machine-op-inspct',b'Husband',b'Other',b'Female',12.335679,0.45760065,41.069813,b'United-States',0
11,45.32301,b'Private',218780.11,b'Doctorate',10.550515,b'Married-civ-spouse',b'Machine-op-inspct',b'Husband',b'Other',b'Female',52.97012,2.0369887,42.785053,b'Trinadad&Tobago',0
12,43.266148,b'Private',170996.92,b'Doctorate',10.923945,b'Married-civ-spouse',b'Machine-op-inspct',b'Husband',b'Other',b'Female',8.0990305,0.34544408,43.507423,b'United-States',0
13,44.188797,b'Private',176104.69,b'Doctorate',11.154304,b'Married-AF-spouse',b'Machine-op-inspct',b'Husband',b'Other',b'Female',17.630878,0.59599864,41.803253,b'United-States',0
14,43.02623,b'Private',169943.62,b'Doctorate',11.041992,b'Married-AF-spouse',b'Machine-op-inspct',b'Husband',b'Other',b'Female',15.7563305,0.6205344,41.345894,b'United-States',0
15,43.451233,b'Private',174361.58,b'Doctorate',10.676331,b'Married-civ-spouse',b'Machine-op-inspct',b'Husband',b'Other',b'Female',27.844032,1.0121981,42.20556,b'United-States',0
16,44.031353,b'Private',191321.06,b'Doctorate',10.978182,b'Married-civ-spouse',b'Machine-op-inspct',b'Husband',b'Other',b'Female',18.039165,0.9161321,43.54366,b'Trinadad&Tobago',0
17,44.483704,b'Private',189630.22,b'Doctorate',10.824907,b'Married-AF-spouse',b'Machine-op-inspct',b'Husband',b'Other',b'Female',14.86823,0.590027,42.562275,b'United-States',0
18,44.70188,b'Private',214327.0,b'Doctorate',10.710515,b'Married-civ-spouse',b'Machine-op-inspct',b'Husband',b'Other',b'Female',55.384083,2.4944706,42.188896,b'Trinadad&Tobago',0
19,42.962345,b'Private',193861.23,b'Doctorate',10.795029,b'Married-civ-spouse',b'Machine-op-inspct',b'Husband',b'Other',b'Female',27.343357,1.2763796,42.508522,b'Trinadad&Tobago',0
20,44.53996,b'Private',171602.97,b'Doctorate',10.955773,b'Married-civ-spouse',b'Machine-op-inspct',b'Husband',b'Other',b'Female',15.792092,0.64403164,41.604614,b'United-States',0
21,43.15287,b'Private',187354.39,b'Doctorate',10.81273,b'Married-AF-spouse',b'Machine-op-inspct',b'Husband',b'Other',b'Female',28.866241,1.1450028,41.212723,b'Trinadad&Tobago',0
22,43.982964,b'Private',159866.81,b'Doctorate',11.195329,b'Married-AF-spouse',b'Machine-op-inspct',b'Husband',b'Other',b'Female',5.386023,0.28464738,41.12388,b'United-States',0
23,44.247173,b'Private',190076.19,b'Doctorate',10.874268,b'Married-civ-spouse',b'Machine-op-inspct',b'Husband',b'Other',b'Female',16.978212,0.77449965,41.674812,b'United-States',0
24,43.765396,b'Private',171511.3,b'Doctorate',10.594005,b'Married-AF-spouse',b'Machine-op-inspct',b'Husband',b'Other',b'Female',11.285266,0.5289139,42.349773,b'United-States',0
25,40.675087,b'Private',137415.48,b'HS-grad',10.984158,b'Married-AF-spouse',b'Machine-op-inspct',b'Husband',b'Other',b'Female',2.9730833,0.1673231,40.856426,b'United-States',0
26,44.183037,b'Private',207888.8,b'Doctorate',10.719078,b'Married-civ-spouse',b'Machine-op-inspct',b'Husband',b'Other',b'Female',24.679056,0.9505341,43.043434,b'Trinadad&Tobago',0
27,43.92947,b'Private',215061.55,b'Doctorate',10.618329,b'Married-civ-spouse',b'Machine-op-inspct',b'Husband',b'Other',b'Female',45.591137,1.8147386,43.201168,b'Trinadad&Tobago',0
28,43.515503,b'Private',166419.25,b'Doctorate',10.731107,b'Married-AF-spouse',b'Machine-op-inspct',b'Husband',b'Other',b'Female',10.360635,0.40452033,41.127228,b'United-States',0
29,45.19841,b'Private',199394.78,b'Doctorate',10.766162,b'Married-civ-spouse',b'Machine-op-inspct',b'Husband',b'Other',b'Female',43.394726,1.6276696,42.250584,b'Trinadad&Tobago',0
30,44.102818,b'Private',172376.34,b'Doctorate',10.813888,b'Married-civ-spouse',b'Machine-op-inspct',b'Husband',b'Other',b'Female',14.87121,0.5931426,41.910614,b'Trinadad&Tobago',0
31,43.00744,b'Private',165229.53,b'HS-grad',10.996168,b'Married-AF-spouse',b'Machine-op-inspct',b'Husband',b'Other',b'Female',10.005164,0.39945537,41.605515,b'United-States',0
32,43.61192,b'Private',187891.72,b'Doctorate',10.780437,b'Married-civ-spouse',b'Machine-op-inspct',b'Husband',b'Other',b'Female',12.142325,0.72776484,42.710857,b'United-States',0
33,42.582836,b'Private',154033.06,b'Doctorate',11.044308,b'Married-AF-spouse',b'Machine-op-inspct',b'Husband',b'Other',b'Female',9.899443,0.27820602,41.24786,b'United-States',0
34,44.713657,b'Private',198410.73,b'Doctorate',10.665529,b'Married-civ-spouse',b'Machine-op-inspct',b'Husband',b'Other',b'Female',40.131405,1.4443653,42.885586,b'Trinadad&Tobago',0
35,44.984947,b'Private',187276.02,b'Doctorate',10.706335,b'Married-civ-spouse',b'Machine-op-inspct',b'Husband',b'Other',b'Female',18.876602,0.44881403,41.641964,b'United-States',0
36,43.134533,b'Private',156671.36,b'Doctorate',10.772178,b'Married-AF-spouse',b'Machine-op-inspct',b'Husband',b'Other',b'Female',5.5943747,0.27084056,42.14592,b'United-States',0
37,42.92676,b'Private',130306.32,b'HS-grad',10.994878,b'Married-AF-spouse',b'Machine-op-inspct',b'Husband',b'Other',b'Female',3.1034038,0.13146335,41.378517,b'United-States',0
38,45.078968,b'Private',200771.47,b'Doctorate',10.665233,b'Married-civ-spouse',b'Machine-op-inspct',b'Husband',b'Other',b'Female',28.672527,1.3508956,42.184254,b'Trinadad&Tobago',0
39,46.46292,b'Private',225556.16,b'Doctorate',10.339269,b'Married-civ-spouse',b'Machine-op-inspct',b'Husband',b'Other',b'Female',64.41409,3.260532,43.14896,b'Trinadad&Tobago',0
40,44.357502,b'Private',191037.19,b'Doctorate',10.843855,b'Married-civ-spouse',b'Machine-op-inspct',b'Husband',b'Other',b'Female',23.28432,0.98571503,42.260624,b'Trinadad&Tobago',0
41,43.31144,b'Private',154944.58,b'HS-grad',10.779778,b'Married-AF-spouse',b'Machine-op-inspct',b'Husband',b'Other',b'Female',11.808262,0.5887288,40.362823,b'United-States',0
42,42.866707,b'Private',213505.86,b'Doctorate',10.827928,b'Married-civ-spouse',b'Machine-op-inspct',b'Husband',b'Other',b'Female',28.282122,1.1779768,43.460136,b'Trinadad&Tobago',0
43,43.650352,b'Private',160354.95,b'Doctorate',10.994803,b'Married-civ-spouse',b'Machine-op-inspct',b'Husband',b'Other',b'Female',7.5765476,0.32010692,42.03675,b'United-States',0
44,44.046978,b'Private',218890.47,b'Doctorate',10.754257,b'Married-civ-spouse',b'Machine-op-inspct',b'Husband',b'Other',b'Female',67.23634,2.8162916,42.40057,b'Trinadad&Tobago',0
