,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
0,62.3441162109375,b'housemaid',b'divorced',b'tertiary',b'no',1594.704345703125,b'no',b'no',b'cellular',11.24305248260498,b'apr',353.525390625,6.699800491333008,-0.9940025210380554,5.803990279673599e-05,b'success',0
1,44.85423278808594,b'entrepreneur',b'married',b'tertiary',b'no',2179.92724609375,b'no',b'no',b'cellular',12.465798377990723,b'nov',227.9081268310547,1.6182551383972168,55.019317626953125,0.9094372391700745,b'success',0
2,70.45348358154297,b'blue-collar',b'divorced',b'tertiary',b'no',-1165.8463134765625,b'no',b'no',b'cellular',19.686573028564453,b'apr',37.47651290893555,6.133275032043457,-0.9999992251396179,3.547616644894447e-09,b'unknown',1
3,60.533016204833984,b'blue-collar',b'divorced',b'tertiary',b'no',2710.951416015625,b'no',b'no',b'cellular',17.439565658569336,b'aug',154.0778045654297,2.8312251567840576,-0.9895862340927124,6.830180791439489e-05,b'success',1
4,47.192630767822266,b'student',b'divorced',b'secondary',b'no',-2465.50927734375,b'no',b'no',b'cellular',6.82432222366333,b'mar',79.57093811035156,2.555107593536377,-0.3995819091796875,0.02200135961174965,b'success',1
5,43.286529541015625,b'management',b'married',b'secondary',b'no',479.2220458984375,b'no',b'no',b'cellular',8.271010398864746,b'nov',253.42660522460938,1.6777561902999878,109.81546783447266,2.301499366760254,b'other',0
6,68.97042846679688,b'technician',b'divorced',b'tertiary',b'no',-7122.90771484375,b'no',b'no',b'cellular',5.711530685424805,b'apr',1.0201120376586914,27.227615356445312,-0.9999999403953552,2.298188652208334e-17,b'unknown',1
7,54.17622756958008,b'technician',b'divorced',b'tertiary',b'no',-3432.157958984375,b'no',b'no',b'cellular',3.709425449371338,b'aug',189.02133178710938,8.029500007629395,-0.9989755749702454,1.3437731468002312e-05,b'success',1
8,48.36737060546875,b'student',b'divorced',b'secondary',b'no',-1260.454345703125,b'no',b'no',b'cellular',5.20662260055542,b'jul',225.6051025390625,4.4895219802856445,-0.566474437713623,0.011613179929554462,b'success',1
9,71.5186767578125,b'unemployed',b'divorced',b'tertiary',b'no',-7071.24267578125,b'no',b'no',b'cellular',7.912282466888428,b'apr',0.3845033645629883,21.641746520996094,-0.9999999403953552,1.7934534649041946e-17,b'unknown',1
10,58.572364807128906,b'blue-collar',b'divorced',b'tertiary',b'no',3192.086181640625,b'no',b'no',b'cellular',16.205265045166016,b'dec',278.99053955078125,2.2702796459198,-0.9072552919387817,0.0004275553219486028,b'success',0
11,60.11158752441406,b'entrepreneur',b'divorced',b'tertiary',b'no',1419.6363525390625,b'no',b'no',b'cellular',16.02969741821289,b'aug',111.91098022460938,5.135668754577637,-0.9970108866691589,4.768280268763192e-05,b'success',1
12,56.92786407470703,b'blue-collar',b'divorced',b'tertiary',b'no',3694.91259765625,b'no',b'no',b'cellular',15.5333251953125,b'feb',270.3030090332031,2.5985755920410156,-0.8211791515350342,0.0014729454414919019,b'success',1
13,63.38290786743164,b'self-employed',b'divorced',b'tertiary',b'no',-988.8055419921875,b'no',b'no',b'cellular',10.204666137695312,b'apr',117.22801971435547,13.263803482055664,-0.9999561309814453,6.301355028881517e-07,b'unknown',0
14,62.98958969116211,b'blue-collar',b'divorced',b'tertiary',b'no',2262.255126953125,b'no',b'no',b'cellular',15.163503646850586,b'aug',303.9315490722656,3.424886703491211,-0.991321325302124,4.014575097244233e-05,b'success',0
15,55.4988899230957,b'self-employed',b'divorced',b'tertiary',b'no',760.3510131835938,b'no',b'no',b'cellular',7.375328063964844,b'dec',340.7485046386719,7.641789436340332,-0.9448872208595276,0.001361554372124374,b'success',0
16,48.499717712402344,b'blue-collar',b'married',b'tertiary',b'no',3316.621826171875,b'no',b'no',b'cellular',15.627912521362305,b'may',216.895751953125,1.565786600112915,8.341564178466797,0.07928460836410522,b'success',1
17,43.27116775512695,b'retired',b'married',b'secondary',b'no',-388.9682922363281,b'no',b'no',b'cellular',6.809672832489014,b'nov',259.91766357421875,1.8302116394042969,77.70841217041016,1.746097207069397,b'success',0
18,68.52212524414062,b'self-employed',b'divorced',b'tertiary',b'no',-4216.455078125,b'no',b'no',b'cellular',8.739106178283691,b'apr',37.68654251098633,16.86202621459961,-0.9999999403953552,5.783220083377394e-11,b'unknown',1
